videoId,viewsSubscriberRatio,title
H-dvkLK651A,0.4755606936416185,Ray-Ban Meta Smart Glasses just got WAY Smarter!!
mEXD8CfaDSs,0.1555463182897862,How To Install watchOS 7 beta 1 To Your Apple Watch
FKDW-JmNNU8,0.3579496855345912,"New Echo Pop: The Good, The Bad, & The Confusing!"
iGm9Y3SYPcM,0.4083932038834951,iPhone 13 Release Date and Price – The iPhone 12 Successor!
q3zptfp8Ab8,0.6756007393715342,This App Changed How I Viewed Organization
sx56pURfgPs,0.2097382978723404,Overclock EVERYTHING...
uY_AotYjLN4,0.7014258241758242,Everything New with CarPlay in iOS 14!
Y3zUEI7vL44,1.439089430894309,Let’s Settle It - Galaxy S24 vs iPhone 15
4cGzanMbTXI,0.2400032362459546,M1 or M1 Pro & M1 Max MacBook Pro - ONLY BUY for this Reason!
DiRLLTrzjJw,0.8274063400576369,Top 5 BEST iPhone 7 & 7 Plus Accessories!
YEQrz_xxRTs,0.1217686956521739,Video Doorbell on a Budget | Blink Video Doorbell
7_FkMYpymzM,0.1313436426116838,Apple Mac mini 2009 unboxing & review - early 2009
fL7VcgJqJ28,0.1360857605177993,Apple Airpods Pro 2 Release Date and Price – A New or Same Design?
VaSstf9VJGQ,0.2860307368421053,Windows 11 Reactions: It Runs Android Apps! (Kinda)
mw1FK74-Hu8,0.4556904761904762,Philips Hue Play HDMI Sync Box - SETUP & REVIEW! | The Tech Chap
aljyZp0Hqx4,1.105241935483871,Testing Immersed Beta on Vision Pro
V4lsq-dBQe4,0.0123557894736842,Samsung Galaxy Tab S (10.5 inch) Display review
un9uq5rp_J0,0.2683531914893617,I want a Gaming Chromebook.
BEAm5lUn70M,36.81053604436229,Building Home Office In Apple Vision Pro
HHt8GeYtGa8,0.4735764102564102,iPhone 12 Pro & Pro Max Tips Tricks & Hidden Features YOU HAVE TO KNOW!!
y8gYl_wMIvo,1.0014471544715446,"The BEST Way To Charge Your iPhone! (Slow vs Fast Chargers, Wired vs Wireless)"
ddHbpSSC4Xc,1.640918699186992,How to Transfer ALL DATA from Old MacBook to New MacBook (BEST WAY 2023)
lxJSybmqtpY,0.0062715789473684,My Video Editing Computer Build for 2021
NOvAs_n6evI,0.2750936170212766,A Microsoft Mac Mini??
CkwxWqf-M_s,0.4222458432304038,New Apple Magic Keyboards with Touch ID Review
f6rxMnar53s,0.4315866666666667,Flagship Features For Half The Price? - Samsung Galaxy Tab S9 FE
gL5u09LDzik,0.0930493601462522,Fake AirPods Pro for Only $95?
yCfh8-_Fimg,0.0947104395604395,Samsung Galaxy Note 7 vs Galaxy Note 5: Yesterday vs Tomorrow | Pocketnow
eadL5Jxr_Lc,0.5565040650406504,iPhone 15 Day In The Life Review: why this is the best iPhone in years!
Pf64KLM7KZI,0.3504110032362459,"iOS 17 Release Date, Supported Devices & LEAKED FEATURES!"
L8o9mJZyI_g,0.0858362637362637,Moto X Pure Edition – After The Buzz | Pocketnow
W9V6MLhBn28,0.533125,iPhone 11 Review - Insamely Great.
6e16zZH39pk,0.0741750841750841,How did I make this weirdly shaped coffee table?
XLmp-eh5Cdg,0.1165391304347826,Samsung Galaxy Z Fold 3 - THIS IS IT!
1vl9N4Sk8QY,0.1117288732394366,NEW 2020 iPhone SE!
Dzsv7x0JcXE,0.3558478723404255,So the PS5 IS better…
ttZ21fAyjSM,0.0124579124579124,Burgers (and Sausage) - Passing the Knowledge
d8bfPS2OegI,0.0803598901098901,Apple Ban REJECTED by Huawei
cdev_Hb0B7A,0.0303425120772946,Top 5 Best COOL TECH Under $100
vKDVLGoQ9T0,0.0399326599326599,Espresso kicked my ASS! My Honest Breville Barista Espress Machine Review
